mes_ref;company_id;tipo_doc;max_valor_boleto;avg_valor_boleto;total_valor_boleto;valor_boleto_stdv;qtd_boleto_pago;qtd_boleto_total;qtd_boleto_estorno;qnt_cc_total;tempo_credenciamento;conta_bnk_repetida;fraude
01/07/2020;5ea0678761e7033ead16355a;cnpj;400;"263,55";2372;"84,06";3;9;0;113;10;0;0
01/07/2020;5e78ffe6b8e516484c79d7b2;cnpj;"4041,6";"4041,6";"4041,6";0;0;1;0;27;11;0;0
01/07/2020;5eb310ebdb5b121683842275;cnpj;480;"214,43";4932;"106,81";21;23;1;3;10;0;0
01/07/2020;5ef67820661b214ee624a68a;cnpj;"8131,1";"2685,32";"120839,4";"2124,45";4;45;0;0;6;0;0
01/07/2020;5ea0751f437c42690fc30125;cnpj;540;480;1920;120;4;4;0;6;10;0;0
01/07/2020;5f08a740aa71605cc3aa07c7;cnpj;150;"90,62";"996,84";"45,39";7;11;0;5;8;0;0
01/07/2020;5e7e67a6d0a3a04ec58edcd4;cnpj;1260;"457,93";"2747,6";"426,37";6;6;0;2;11;0;0
01/07/2020;5e724bd6d95d002aa846a265;cnpj;"143,5";"143,5";"143,5";0;1;1;0;2;11;0;0
01/07/2020;5ec3ddc93306325a44738afb;cnpj;65;"55,5";111;"13,44";2;2;0;25;9;0;0
01/07/2020;5f03b16e1967700dfbd0e216;cpf;"78002,86";"3462,35";"180042,48";"11087,34";3;52;0;0;6;1;0
01/07/2020;5e8389099eb0c266b734ad23;cnpj;1530;"332,96";"8990,16";"348,87";26;27;0;10;11;0;0
01/08/2020;5e88fac050c55449f1a3ee14;cpf;177;"96,2";962;"43,87";9;10;0;29;11;0;0
01/08/2020;5ed8ed1aa435c804e5f7e976;cpf;"2068,72";"507,25";"11666,78";"442,27";2;23;0;0;6;0;0
01/08/2020;5e94f73356d9767652b5c272;cnpj;"1173,48";"1173,48";"1173,48";0;0;1;0;18;10;0;0
01/08/2020;5ec2c1a2e31a692321d4c8a8;cnpj;1710;"599,56";"2997,8";"641,92";4;5;0;0;9;0;0
01/08/2020;5e6054d65e111222366ff933;cnpj;"110,8";"110,8";"110,8";0;1;1;0;3;12;0;0
01/08/2020;5ef49c498369635c25183b63;cnpj;1000;1000;1000;0;0;1;0;33;8;0;0
01/08/2020;5ec3e07621e62a0d38b3c31a;cnpj;600;600;600;0;0;1;0;21;9;0;0
01/08/2020;5e1c738d7268a016d9e71108;cnpj;353;"139,94";"2658,97";"68,14";16;19;0;6;14;0;0
01/08/2020;5f3d1b4ffed7c0764a17379c;cpf;16100;"1864,21";"59654,74";"3244,35";2;32;0;0;4;0;0
01/09/2020;5efe6c985013f4297e4c4abe;cpf;"15607,71";"1183,75";"80495,42";"2130,87";2;68;0;0;7;1;1
01/09/2020;5f495f5ba6b9341322b246b8;cpf;600;"524,75";21515;"84,2";40;41;0;0;6;0;0
01/09/2020;5e7cc3118dc5042cae4e94b5;cnpj;536;"164,82";"6922,52";"88,32";29;42;0;16;11;0;0
01/09/2020;5e7265f5ca8b824357b8a41d;cnpj;"208,9";"208,9";"208,9";0;0;1;0;8;11;0;0
01/09/2020;5ee2231e75175e3ecbde0d0e;cpf;600;350;1400;"173,21";2;4;0;4;9;0;0
01/09/2020;5f60b2c382e40a4a11397e68;cpf;"38449,07";"12528,9";"125289,07";"11431,54";0;10;0;0;4;0;0
01/09/2020;5f6d2644d55c473e379f7439;cpf;270;270;270;0;0;1;0;10;5;0;0
01/09/2020;5f6959169521d548483e681b;cpf;"116787,9";"14552,32";"494778,94";"24812,01";0;34;1;0;3;1;1
01/10/2020;5e74dd7cc7186a0f48c0f6bb;cnpj;398;"182,38";"20609,84";"57,93";98;113;0;2;11;0;0
01/10/2020;5e73a52e05cd331f336a0a26;cnpj;238;"201,15";"1005,75";"52,1";5;5;0;20;11;0;0
01/03/2020;5e711044d95d002aa8469e7e;cpf;"119,9";"119,9";"119,9";0;0;1;0;12;0;0;0
01/04/2020;5e74d202d1498c5bdf8aafe3;cnpj;6000;6000;6000;0;1;1;0;6;11;0;0
01/04/2020;5e829c9da7eace6da2d68349;cnpj;"113,78";"59,89";"119,78";"76,21";1;2;0;14;11;0;0
